id,limma_pvalue,mu_hat,se_hat,residual_dof
R00001,0.6330122805582828,-0.03442402646681224,0.05591457316195332,11
R00002,0.8527794270200901,-0.014044671903205809,0.06465656882958537,11
R00003,0.72342445368396,0.02978889604387156,0.08205752743389023,11
R00004,0.4283891380889058,0.06905480589034159,0.08685317736556858,11
R00005,0.022533273039562127,-0.25000217949710696,0.11590058783022257,11
R00006,0.14762711026343797,-0.11933948895913875,0.0747146528732366,11
R00007,0.6920671240427327,0.03405202742345453,0.08546791514552346,11
R00008,0.3920567547872099,0.0635377217666238,0.05995683697542763,11
R00009,0.6823880435624368,-0.03807722778285754,0.09849575573545637,11
R00010,0.28126858661977155,-0.1064797606044683,0.10661250447667324,11
R00011,0.10346253829917922,-0.12308695203854737,0.05909386908882773,11
R00012,0.03484810634570268,-0.23338770756105548,0.11912924978479758,11
R00013,0.5396743284725127,0.048976541324808644,0.07291577789297433,11
R00014,0.009852298023832912,0.21822359917405734,0.06965848384315104,11
R00015,0.983792759888046,-0.0017014124211421238,0.08147825061900488,11
R00016,0.913557419355683,0.00959832015353005,0.0903526641166098,11
R00017,0.23726623836163485,0.11422877034762467,0.10238673871990513,11
R00018,0.04265996520153603,0.21395284758916708,0.11174392923638572,11
R00019,0.8764226419870926,0.015052882787094393,0.10540868974374064,11
R00020,0.8970953344009436,-0.009412832523801344,0.05801241177870033,11
R00021,0.4865083349439955,0.08019046234846047,0.13517232174312444,11
R00022,5.391013069368775e-6,-0.616775516071208,0.11768436095816207,11
R00023,0.7228072184400212,0.04054314015451284,0.13445301974360263,11
R00024,0.37082916475287553,-0.08001493333120784,0.09063389040671205,11
R00025,0.40601580099603685,0.09078157773258452,0.12503624930233265,11
R00026,0.9964478576856749,-5.824336434404435e-4,0.160816138954424,11
R00027,0.983372439474532,-0.0019008668696912953,0.09550028570852431,11
R00028,0.372102012706812,-0.07007123250056534,0.06926361154946778,11
R00029,0.456926880439639,0.07064733420704357,0.10113050365162679,11
R00030,0.9500386273901497,-0.005699309521843292,0.09504010511854369,11
R00031,0.7751203521592408,-0.024168256526574068,0.08296077079849831,11
R00032,0.084709344535032,-0.1934027527389028,0.12484572484278189,11
R00033,0.4062967758352075,0.07185762271763986,0.08547480193022326,11
R00034,0.030285471097222096,-0.21828444121037918,0.10263865655422665,11
R00035,0.665457316884043,-0.04521936840223966,0.11836661768201588,11
R00036,0.6878604972928717,0.028814810049893388,0.05514168810569413,11
R00037,0.7628380448017699,-0.024209239023229908,0.07423983169384418,11
R00038,0.5768258017589988,0.04587325944634116,0.0778112646610314,11
R00039,0.356212702329875,0.08455002562552125,0.09460632047218673,11
R00040,0.943148693380675,0.011641096416132667,0.20975216788778445,11
R00041,0.4191339389134141,-0.08936746040913578,0.1273362108829783,11
R00042,0.8169559036920938,0.01939345421653158,0.0814367751149318,11
R00043,0.2634705966200999,-0.08136061072477196,0.05537744943466185,11
R00044,0.9003882317307962,0.015457408679696052,0.14933343487940953,11
R00045,0.3835137027370211,-0.06968802461281277,0.0723916130205974,11
R00046,0.6938924724269595,-0.026054911991826826,0.03997725095360226,11
R00047,0.7023066295064944,0.040636050327475796,0.12135275193702388,11
R00048,0.7058877259224134,-0.043332040961412605,0.1352583812767819,11
R00049,0.6698652591148363,0.02902939909898794,0.04554152952990829,11
R00050,0.43599467917690626,0.10554799953700032,0.16651385571309038,11
R00051,0.6566049138088637,-0.0417486151727234,0.09995129635391792,11
R00052,0.5247190215027041,-0.05902050507578629,0.09755082834283445,11
R00053,0.17883467719284274,0.17287600850259466,0.1530568922302319,11
R00054,0.8781401715627305,0.013664091865220886,0.09162176221131318,11
R00055,0.16418289407581113,-0.1368372097757097,0.10424714015923053,11
R00056,0.18300454525814713,-0.11434594335371286,0.08209275870466815,11
R00057,0.6788296757414826,0.03458649937277665,0.08070396398130066,11
R00058,0.1861216993935328,-0.10749296833909738,0.0731611050516038,11
R00059,0.17091827158391204,-0.12268654100206923,0.08886059551916237,11
R00060,0.7725059651517071,-0.021158399683725376,0.0588406104290813,11
R00061,0.8786265690439365,-0.014381592679259748,0.10078776146048676,11
R00062,0.7257115132753009,-0.02996616599559345,0.08445252935157156,11
R00063,0.8147753459566494,0.030281703791142714,0.15825617859333674,11
R00064,0.18436878454736905,0.11953753680968013,0.08991142494602583,11
R00065,0.7529459669441569,-0.029551930306292336,0.10012552201057912,11
R00066,0.5137036040137055,0.0782264222874073,0.1425396256726491,11
R00067,0.41680880002203313,0.05852606620420469,0.05497069177184618,11
R00068,0.762714285976811,-0.02499121749754424,0.07937196209436491,11
R00069,0.8217805784453175,-0.015199975135419359,0.04408800066003407,11
R00070,0.19356010961970846,0.1091357230437819,0.07852921474728873,11
R00071,0.1874183454686853,-0.13835455725556384,0.11574641435443003,11
R00072,0.1217919607954209,0.12794926455292843,0.07466700920637014,11
R00073,0.3713006369933457,-0.08695546818071041,0.1046501300333435,11
R00074,0.035610706739383914,-0.1952778173134636,0.08976857940901552,11
R00075,0.5008293018628382,-0.08643519006915844,0.15596968818187204,11
R00076,0.20390039073567978,-0.16920613265438625,0.1605130853864371,11
R00077,0.648294780404636,-0.03612189268331855,0.07186598443148556,11
R00078,0.7021640041412653,-0.029519198981035718,0.06774831955932212,11
R00079,0.15945739025953595,0.1484402561420167,0.11615820630996936,11
R00080,0.4756582889060422,0.06330918446341322,0.08999818002063681,11
R00081,0.8184044260845222,-0.0267644486421211,0.13826645674061763,11
R00082,0.6595981007440705,-0.03355271528199837,0.06542818373512416,11
R00083,0.4622471079326027,0.06940468040788869,0.10017017048928681,11
R00084,0.7928794815910264,-0.02378408954373763,0.09422286382362716,11
R00085,0.39217766754060246,0.07810742828919842,0.09418890212090664,11
R00086,7.099549317183226e-5,-0.3195742856091286,0.039440139616894805,11
R00087,0.3355991701374691,0.10145968013476633,0.11813506659253808,11
R00088,0.7003348342956142,-0.04112018874063327,0.12221673164412572,11
R00089,0.600451189114803,0.05029168797501089,0.10354541047093348,11
R00090,0.43508058337861144,0.06477315710370932,0.0787776191823367,11
R00091,0.7779574384550254,-0.022483652116203488,0.07324596922882898,11
R00092,0.5655178858984979,-0.05279908986073547,0.0960632110631986,11
R00093,0.3595793065563776,0.07673169167846534,0.07983365050693998,11
R00094,0.011525984302371003,-0.23576308978009322,0.08645585472583214,11
R00095,0.4822765126144688,0.06547130267540473,0.09807467514477962,11
R00096,0.83122527969548,-0.01836562363477636,0.08605141097301407,11
R00097,9.71814181464711e-5,0.5522857132904709,0.1391137004305651,11
R00098,0.537885353702849,0.04081818453914689,0.03961350215031821,11
R00099,0.9844378178627298,-0.0014618716754998527,0.0630735506597419,11
R00100,0.17393337224777178,-0.14016889975994487,0.11241866555956036,11
R00101,0.4767455613504299,-0.07484735811208956,0.11871796179730382,11
R00102,0.1737422505612695,0.1472298624717126,0.12089961508397046,11
R00103,0.1841077204496672,-0.10452130687768246,0.0677220144396434,11
R00104,0.14335655479952608,0.11643798619355462,0.06880132196001686,11
R00105,0.40805853700805106,-0.09368935709971499,0.13152980744049078,11
R00106,0.49056013912339913,0.06147765368604428,0.09083814714860777,11
R00107,0.6584492508378998,0.036780269180058854,0.08001408858263605,11
R00108,0.5805634659879475,0.04025405416934074,0.05757993787706182,11
R00109,0.17798817915093537,-0.10683869400046414,0.0689373406083579,11
R00110,0.351905930658035,-0.059196561511189426,0.02875395862659363,11
R00111,0.15528178937023515,0.11891513660298147,0.07735707090226872,11
R00112,0.95438315843627,0.0057901723654097915,0.11307485125500953,11
R00113,0.6048617806108552,-0.042463935040593107,0.07762139197873301,11
