protein,limma_pvalue,mu_hat,se_hat,residual_dof
P51149,0.8868309231935769,-0.031279942507734027,0.20541949720380862,28
Q9P1F3,0.014272407609757868,0.7737620652997688,0.3031084386385797,28
P02675,0.3635451526848875,-0.34095623296700084,0.38484598598514425,28
P37802,0.9709438867110431,-0.01045407346776421,0.28630145899332105,28
P10809,0.8969079065696566,-0.05337402568985394,0.42875408300921464,28
P13489,0.020705912514900827,-0.43683772623857764,0.15538746254909389,28
P27797,0.17670515671565082,0.43031237809438294,0.31776514134550055,28
Q9UBI6,0.39319404876916664,-0.2926230002543445,0.34841524377205607,28
E7EV09,0.8869452910004492,0.03372427712229842,0.2269006918958079,28
I3L3Q4,0.6970422231050222,0.09042234404193827,0.22055865640009314,28
P31946,0.5165458673085894,-0.12878061467492433,0.17758788623741037,28
P55072,0.3329692548960239,0.20051807928158588,0.18757622166981436,28
Q02790,0.6060842994263328,-0.1737472338140883,0.3432067677128792,28
P02652,0.9483911184618541,0.03249328852731538,0.5290854317255675,28
P14618,0.44148721189013407,-0.17938026126945783,0.22057512731128243,28
P05783,0.20745567906762946,0.5224137056249539,0.4259730546105852,28
Q49AN9,0.9409372217935326,0.01878647820000802,0.24669941058019712,28
P34932,0.7847596269714101,0.0696789772210298,0.24841322104532906,28
P50395,0.3370501864949599,0.19701152941262626,0.18519419151845504,28
P53999,0.750984090353627,-0.10440096101035921,0.3345984005676691,28
A2ACR1,0.5412744767781329,-0.2563612634209279,0.436121929838761,28
Q9H0U4,0.2788391212844928,0.34375732682898585,0.31834229807784326,28
P29762,0.3316150366604059,-0.8364348274401843,0.916352876044629,28
D6RF35,0.11354446669508843,-1.2770541282301127,0.8468997926522068,28
P62820,0.15448655451008458,0.3500706393993111,0.23285361093518867,28
C9J813,0.08988222942160197,-0.5998437610077453,0.3542716275626089,28
P02649,0.8559835617870039,0.06291852345930576,0.35501000869478594,28
P41567,0.6047232756345036,-0.1015611681361016,0.1748717229555358,28
O00299,0.6024021269106004,-0.11074772223550222,0.19585870285167345,28
P23396,0.2217807727806159,0.24293244822876925,0.17586814181407628,28
Q5VY30,0.38611890988382436,-0.3093729966062497,0.3644873483572948,28
P27695,0.16707404173912976,-0.3512855966652336,0.24310519005366912,28
P19105,0.014604589885021781,0.6159802663237921,0.23138192302647675,28
P15531,0.03358484830625132,0.8480257211818448,0.39898040019119346,28
B7Z403,0.4743148025471149,-0.28216448234579095,0.4073546313734526,28
P68036,0.025714448279418458,0.43694881381649675,0.16524927835968614,28
Q99497,0.1160043824023723,-0.34800538804509,0.20228035646289164,28
O43852,0.14820397627506599,0.5000142561953863,0.347847706716933,28
K7EJH8,0.39080544649449,0.39423583990126465,0.47894419532190674,28
E5RJ08,0.9591991198536203,-0.023182347822796157,0.474845007645384,28
P24666,0.0974878347515288,0.41470552944255235,0.23643881496385688,28
Q9BUP0,0.37135603074937706,-0.4583440135943469,0.5375152353390561,28
P08729,8.376378280342417e-4,1.9713885246605485,0.5719530476671927,28
P08758,0.41626771901511783,-0.5436729547014489,0.7089538100374424,28
P12081,0.9018792116480383,0.027952015921443335,0.2140357942661952,28
Q9NRV9,0.23726504905432555,-0.5867217198201047,0.5170919500105051,28
P02795,0.4550173689743875,-0.28326013848674675,0.3901171282583781,28
Q9BSY4,0.32211287859895144,-0.3558375341382209,0.3665106417358514,28
Q9P2E9,0.4131773429895159,0.22737536185305346,0.27390041976558605,28
P25815,0.0030941311166979746,2.219586052451647,0.7476887444749228,28
P09211,0.05850104973814234,-0.6426911823105305,0.33658760953177047,28
P49321,0.5445852076326677,0.20071642464571915,0.3364471742885271,28
P29373,0.40021616247293046,-0.45076980085319646,0.5633235482082216,28
P52565,0.5321703131911972,-0.11975884427554849,0.16873366094793513,28
P62306,0.09740745812162822,0.5527695660891514,0.3320586826071685,28
P00918,0.07064277745263897,-1.1987076422045089,0.6883483348122807,28
P31947,0.7559297176212829,-0.16142031749072575,0.5478395282237991,28
P01876,0.7442293432696918,0.20082531458543973,0.6536969709542775,28
P36871,0.9296944880010176,0.018446360219527017,0.19194486207030323,28
P14625,0.9208461370680756,0.0285275409447507,0.28637697437886805,28
P52907,0.7042648433253194,-0.07260973005716238,0.1686647777308302,28
P27348,0.08726023774901333,0.32755175507841805,0.163621535294678,28
P13797,0.06665905992895098,-0.5263940341002198,0.27772670707961444,28
